id,customer_tweet_id,weak_label_hint,weak_rule_confidence
103,2417462,billing_payment,0.5
104,2678841,billing_payment,0.99
105,641999,billing_payment,0.99
106,2432900,order_purchase,0.6667
107,2732926,order_purchase,0.99
108,546531,order_purchase,0.5
109,1716652,account_access,0.99
110,2276298,account_access,0.99
111,2675692,account_access,0.99
112,17305,subscription,0.99
113,34620,subscription,0.5
114,1725180,subscription,0.99
115,2777619,refund_return,0.99
116,617207,refund_return,0.99
117,2069467,refund_return,0.5
118,2410373,complaint,0.99
119,1372798,complaint,0.99
120,1962812,complaint,0.99
121,1874888,device_issue,0.5
122,2981555,connectivity_issue,0.5
123,2363005,billing_payment,0.5
124,1593244,order_purchase,0.5
125,1373709,order_purchase,0.5
126,2312404,app_software_issue,0.5
127,1903548,billing_payment,0.5
128,2110944,account_access,0.5
129,2414341,app_software_issue,0.5
130,1758994,billing_payment,0.5
131,2944545,subscription,0.5
132,2300358,device_issue,0.5
133,2121578,connectivity_issue,0.5
134,906402,app_software_issue,0.5
135,1092499,app_software_issue,0.5
136,2271673,order_purchase,0.5
137,1347738,app_software_issue,0.5
138,1892544,app_software_issue,0.5
139,2021316,app_software_issue,0.5
140,2730441,app_software_issue,0.5
141,2754768,order_purchase,0.5
142,1815828,connectivity_issue,0.5
143,1651821,connectivity_issue,0.5
144,1681631,account_access,0.5
145,2169860,app_software_issue,0.5
146,909826,app_software_issue,0.5
147,2113966,app_software_issue,0.5
148,1566796,app_software_issue,0.5
149,1830334,app_software_issue,0.5
150,1118099,app_software_issue,0.5
151,38248,connectivity_issue,0.5
152,1514435,app_software_issue,0.5
153,1681629,app_software_issue,0.5
154,1450144,account_access,0.5
155,724962,app_software_issue,0.5
156,517180,app_software_issue,0.5
157,717142,billing_payment,0.5
158,1900107,app_software_issue,0.5
159,495175,app_software_issue,0.5
160,2519436,app_software_issue,0.5
161,309498,device_issue,0.99
162,2799437,app_software_issue,0.99
163,1400538,app_software_issue,0.99
164,2946993,app_software_issue,0.99
165,610098,app_software_issue,0.6667
166,2255303,app_software_issue,0.99
167,849929,app_software_issue,0.99
168,2799434,device_issue,0.99
169,2799435,app_software_issue,0.99
170,436488,app_software_issue,0.5
171,1636575,app_software_issue,0.99
172,2269950,device_issue,0.99
173,260448,app_software_issue,0.99
174,304050,app_software_issue,0.8
175,1700793,general_information,0.99
176,957602,app_software_issue,0.99
177,1391875,app_software_issue,0.99
178,2847503,device_issue,0.99
179,718491,order_purchase,0.5
180,506552,account_access,0.99
181,957603,app_software_issue,0.99
182,1002298,device_issue,0.99
183,1777860,connectivity_issue,0.99
184,2889414,app_software_issue,0.99
185,513620,app_software_issue,0.99
186,641963,app_software_issue,0.99
187,2946991,app_software_issue,0.99
188,2702114,subscription,0.99
189,546534,app_software_issue,0.6667
190,1626567,app_software_issue,0.99
191,324294,connectivity_issue,0.99
192,1700794,app_software_issue,0.99
193,2727087,app_software_issue,0.6667
194,1187115,app_software_issue,0.99
195,260443,app_software_issue,0.99
196,557794,account_access,0.99
197,1700796,app_software_issue,0.99
198,2777537,app_software_issue,0.99
199,641964,app_software_issue,0.99
200,2284952,app_software_issue,0.99
