conversation_id,customer_tweet_id,brand_tweet_id,timestamp,customer_message,brand_response,conversation_history,conversation_turns,is_multi_brand_candidate,intent,rule_confidence,needs_manual_review,matched_patterns
14328,14330,14329,2017-11-01T02:34:31+00:00,The amount of times my phone has froze since the newest update is ridiculous. @115858 get your shit together.,@119053 We'd love to help you fix the freezing. This article has steps to fix it: https://t.co/8MvHMFZ83h,customer: The amount of times my phone has froze since the newest update is ridiculous. @115858 get your shit together.,2,0,app_software_issue,0.99,True,update\b
15492,15495,15493,2017-11-22T14:00:01+00:00,Lol the I️ on the new iOS is embarrassing @115858 get your shit together haahaha,"@119420 We've got a fix for the ""I"" on your iPhone. Which version of iOS are you using? You can check that at Settings &gt; General &gt; About. If it's not 11.1.1 or higher, backup with these steps: https://t.co/4f8hwT5to6 Then update. Let us know in DM if that doesn't help. https://t.co/GDrqU22YpT",customer: Lol the I️ on the new iOS is embarrassing @115858 get your shit together haahaha,3,0,app_software_issue,0.99,True,ios\b
22984,22986,22985,2017-11-26T00:40:48+00:00,AND the voice mail app is buggy AF @115858!!!!!!!,@121002 Let's get your Voicemail working as expected. Please tell us about what's going on in DM. https://t.co/GDrqU22YpT,customer: AND the voice mail app is buggy AF @115858!!!!!!!,2,0,app_software_issue,0.99,True,app\b
26700,26702,26701,2017-11-08T23:32:02+00:00,@115858 what is wrong with my keyboard like? Lol I️,@121849 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,customer: @115858 what is wrong with my keyboard like? Lol I️,2,0,general_information,0.99,True,what is\b
26720,26722,26721,2017-11-08T23:32:00+00:00,@AppleSupport i would rather be called a peasant than use a phone that glitches out when “I️” type the letter “I️” figure your shit out.,@121853 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,customer: @AppleSupport i would rather be called a peasant than use a phone that glitches out when “I️” type the letter “I️” figure your shit out.,2,0,app_software_issue,0.99,True,glitch
31456,31460,31457,2017-11-01T12:20:00+00:00,Yo @115858 what’s this new questions mark in my predictive text? I’m assuming it has smtg to do with that bum ass update,@122939 Hi there. We'd be happy to help. Can you tell us what you mean by new question mark?,customer: Yo @115858 what’s this new questions mark in my predictive text? I’m assuming it has smtg to do with that bum ass update,5,0,app_software_issue,0.99,True,update\b
31860,31862,31861,2017-11-01T12:43:00+00:00,"@AppleSupport Why can't I log into my icloud on my Iphone 7 plus?  My phone updated, logged me out of everything and won't take new pw.",@123036 We'd like to help. Are you able to log into https://t.co/9bUADNIlYp successfully? Let us know in DM. https://t.co/GDrqU22YpT,"customer: @AppleSupport Why can't I log into my icloud on my Iphone 7 plus?  My phone updated, logged me out of everything and won't take new pw.",2,0,account_access,0.99,True,log\s*in
31962,31964,31963,2017-11-01T12:29:27+00:00,@115858 shards of glass literally stabbed me when my screen broke. Fuck you apple I phone.,@123069 Send us a DM so we can help. We'd like to get some more information on what happened here. https://t.co/GDrqU22YpT,customer: @115858 shards of glass literally stabbed me when my screen broke. Fuck you apple I phone.,2,0,device_issue,0.99,True,screen\b
32367,32369,32368,2017-11-01T12:56:29+00:00,@AppleSupport fix your shit. See this I️ get to it girl it’s a glitch,@123170 We can definitely look into this with you. Which device are you using? DM us and let us know. https://t.co/GDrqU22YpT,customer: @AppleSupport fix your shit. See this I️ get to it girl it’s a glitch,2,0,app_software_issue,0.99,True,glitch
32374,32376,32375,2017-11-01T12:55:00+00:00,"Oye @115858, muy bonitos tus nuevos emojis pero, ¿para cuando el poder desactivar (REAL) el Wifi y el Bluetooth desde el CC?",@123173 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,"customer: Oye @115858, muy bonitos tus nuevos emojis pero, ¿para cuando el poder desactivar (REAL) el Wifi y el Bluetooth desde el CC?",2,0,connectivity_issue,0.99,False,wi[ -]?fi;bluetooth
32414,32416,32415,2017-11-01T12:49:28+00:00,@AppleSupport iOS 11 is so slow on my iPhone 5S. For example the camera app takes 5-10 seconds before it can take a photo. What gives?🤦‍♂️,@123186 We'd love to look into this. Could you Direct Message us and let us know what iOS version you're on? https://t.co/GDrqU22YpT,customer: @AppleSupport iOS 11 is so slow on my iPhone 5S. For example the camera app takes 5-10 seconds before it can take a photo. What gives?🤦‍♂️,2,0,app_software_issue,0.99,False,ios\b;app\b;slow\b
33406,33369,1973926,2017-11-01T13:34:00+00:00,"@123379 @115858 My phone lags, is shutting off, and glitching all over. It worked so well before I downloaded the update and bug fix update",@584578 We are here to help whenever possible. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT,"customer: Did anyone do the update @115858 and now your phone is having charging issues? Phones not even a year old. Driving me crazy
customer: @123379 @115858 Yes, after the update I have to charge it several times a day. Irritating!
customer: @123379 @115858 I got the new iPhone 8 Plus and since the 11.3 update, it will NOT auto-lock after 30 seconds as I’ve set! Killing my GD battery!!
customer: @123379 @115858 My phone lags, is shutting off, and glitching all over. It worked so well before I downloaded the update and bug fix update
customer: @123379 @115858 Yes I couldn't believe that my battery kept dying! I thought my charger was dead
brand: @123388 We'd love to help you with this. Which iOS version did you recently install? Was it iOS 11.1?
brand: @123378 Let's team up on this. Send us a DM with more information, and we'll continue from there. https://t.co/GDrqU22YpT",23,0,app_software_issue,0.99,False,update\b;bug\b;glitch
33406,33363,48005,2017-11-01T17:11:37+00:00,@123379 @115858 Yess! Hate the new update 😡,"@123389 We’d love to help. To start, send us a DM with more details on the behavior you’re experiencing. https://t.co/GDrqU22YpT","customer: Did anyone do the update @115858 and now your phone is having charging issues? Phones not even a year old. Driving me crazy
customer: @123379 @115858 Yes, after the update I have to charge it several times a day. Irritating!
customer: @123379 @115858 I got the new iPhone 8 Plus and since the 11.3 update, it will NOT auto-lock after 30 seconds as I’ve set! Killing my GD battery!!
customer: @123379 @115858 My phone lags, is shutting off, and glitching all over. It worked so well before I downloaded the update and bug fix update
customer: @123379 @115858 Yes I couldn't believe that my battery kept dying! I thought my charger was dead
brand: @123388 We'd love to help you with this. Which iOS version did you recently install? Was it iOS 11.1?
brand: @123378 Let's team up on this. Send us a DM with more information, and we'll continue from there. https://t.co/GDrqU22YpT
brand: @584578 We are here to help whenever possible. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT
brand: @124175 We'd love to look into this. Please click here to join us in DM: https://t.co/GDrqU22YpT
customer: @123379 @115858 Yess! Hate the new update 😡
customer: @AppleSupport @123388 I hate it !! The entire format changed! When I receive a call I have to say hello 2x no one hears me the first time battery dies quick 😡",23,0,app_software_issue,0.99,True,update\b
33406,33408,33409,2017-11-01T17:20:00+00:00,@AppleSupport @123388 I hate it !! The entire format changed! When I receive a call I have to say hello 2x no one hears me the first time battery dies quick 😡,@123389 We want to help! Please join us in DM to get started troubleshooting. https://t.co/GDrqU22YpT,"customer: Did anyone do the update @115858 and now your phone is having charging issues? Phones not even a year old. Driving me crazy
customer: @123379 @115858 Yes, after the update I have to charge it several times a day. Irritating!
customer: @123379 @115858 I got the new iPhone 8 Plus and since the 11.3 update, it will NOT auto-lock after 30 seconds as I’ve set! Killing my GD battery!!
customer: @123379 @115858 My phone lags, is shutting off, and glitching all over. It worked so well before I downloaded the update and bug fix update
customer: @123379 @115858 Yes I couldn't believe that my battery kept dying! I thought my charger was dead
brand: @123388 We'd love to help you with this. Which iOS version did you recently install? Was it iOS 11.1?
brand: @123378 Let's team up on this. Send us a DM with more information, and we'll continue from there. https://t.co/GDrqU22YpT
brand: @584578 We are here to help whenever possible. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT
brand: @124175 We'd love to look into this. Please click here to join us in DM: https://t.co/GDrqU22YpT
customer: @123379 @115858 Yess! Hate the new update 😡
customer: @AppleSupport @123388 I hate it !! The entire format changed! When I receive a call I have to say hello 2x no one hears me the first time battery dies quick 😡
brand: @123389 We’d love to help. To start, send us a DM with more details on the behavior you’re experiencing. https://t.co/GDrqU22YpT",23,0,device_issue,0.99,True,battery
33406,33364,52269,2017-11-01T18:26:32+00:00,@123379 @115858 My phone is doing weird things since the update... ugh,@127755 Let's get this figured out. What are you currently experiencing with your iPhone and the new update?,"customer: Did anyone do the update @115858 and now your phone is having charging issues? Phones not even a year old. Driving me crazy
customer: @123379 @115858 Yes, after the update I have to charge it several times a day. Irritating!
customer: @123379 @115858 I got the new iPhone 8 Plus and since the 11.3 update, it will NOT auto-lock after 30 seconds as I’ve set! Killing my GD battery!!
customer: @123379 @115858 My phone lags, is shutting off, and glitching all over. It worked so well before I downloaded the update and bug fix update
customer: @123379 @115858 Yes I couldn't believe that my battery kept dying! I thought my charger was dead
brand: @123388 We'd love to help you with this. Which iOS version did you recently install? Was it iOS 11.1?
brand: @123378 Let's team up on this. Send us a DM with more information, and we'll continue from there. https://t.co/GDrqU22YpT
brand: @584578 We are here to help whenever possible. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT
brand: @124175 We'd love to look into this. Please click here to join us in DM: https://t.co/GDrqU22YpT
customer: @123379 @115858 Yess! Hate the new update 😡
customer: @AppleSupport @123388 I hate it !! The entire format changed! When I receive a call I have to say hello 2x no one hears me the first time battery dies quick 😡
brand: @123389 We’d love to help. To start, send us a DM with more details on the behavior you’re experiencing. https://t.co/GDrqU22YpT
brand: @123389 We want to help! Please join us in DM to get started troubleshooting. https://t.co/GDrqU22YpT
customer: @123379 @115858 My phone is doing weird things since the update... ugh",23,0,app_software_issue,0.99,True,update\b
33406,52270,52271,2017-11-01T20:17:32+00:00,@AppleSupport It freezes constantly having problems sending text messages I constantly turn it off and on because I can not call out and at times no sound,@127755 Got it. Please DM us and we will continue troubleshooting from there. https://t.co/GDrqU22YpT,"customer: Did anyone do the update @115858 and now your phone is having charging issues? Phones not even a year old. Driving me crazy
customer: @123379 @115858 Yes, after the update I have to charge it several times a day. Irritating!
customer: @123379 @115858 I got the new iPhone 8 Plus and since the 11.3 update, it will NOT auto-lock after 30 seconds as I’ve set! Killing my GD battery!!
customer: @123379 @115858 My phone lags, is shutting off, and glitching all over. It worked so well before I downloaded the update and bug fix update
customer: @123379 @115858 Yes I couldn't believe that my battery kept dying! I thought my charger was dead
brand: @123388 We'd love to help you with this. Which iOS version did you recently install? Was it iOS 11.1?
brand: @123378 Let's team up on this. Send us a DM with more information, and we'll continue from there. https://t.co/GDrqU22YpT
brand: @584578 We are here to help whenever possible. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT
brand: @124175 We'd love to look into this. Please click here to join us in DM: https://t.co/GDrqU22YpT
customer: @123379 @115858 Yess! Hate the new update 😡
customer: @AppleSupport @123388 I hate it !! The entire format changed! When I receive a call I have to say hello 2x no one hears me the first time battery dies quick 😡
brand: @123389 We’d love to help. To start, send us a DM with more details on the behavior you’re experiencing. https://t.co/GDrqU22YpT
brand: @123389 We want to help! Please join us in DM to get started troubleshooting. https://t.co/GDrqU22YpT
customer: @123379 @115858 My phone is doing weird things since the update... ugh
brand: @127755 Let's get this figured out. What are you currently experiencing with your iPhone and the new update?
customer: @AppleSupport It freezes constantly having problems sending text messages I constantly turn it off and on because I can not call out and at times no sound",23,0,app_software_issue,0.99,True,freez
33406,33365,63183,2017-11-01T21:53:00+00:00,"@123379 @115858 Yes, My phone does not stay charged like before",@130493 We've received your DM and will respond there shortly. https://t.co/GDrqU22YpT,"customer: Did anyone do the update @115858 and now your phone is having charging issues? Phones not even a year old. Driving me crazy
customer: @123379 @115858 Yes, after the update I have to charge it several times a day. Irritating!
customer: @123379 @115858 I got the new iPhone 8 Plus and since the 11.3 update, it will NOT auto-lock after 30 seconds as I’ve set! Killing my GD battery!!
customer: @123379 @115858 My phone lags, is shutting off, and glitching all over. It worked so well before I downloaded the update and bug fix update
customer: @123379 @115858 Yes I couldn't believe that my battery kept dying! I thought my charger was dead
brand: @123388 We'd love to help you with this. Which iOS version did you recently install? Was it iOS 11.1?
brand: @123378 Let's team up on this. Send us a DM with more information, and we'll continue from there. https://t.co/GDrqU22YpT
brand: @584578 We are here to help whenever possible. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT
brand: @124175 We'd love to look into this. Please click here to join us in DM: https://t.co/GDrqU22YpT
customer: @123379 @115858 Yess! Hate the new update 😡
customer: @AppleSupport @123388 I hate it !! The entire format changed! When I receive a call I have to say hello 2x no one hears me the first time battery dies quick 😡
brand: @123389 We’d love to help. To start, send us a DM with more details on the behavior you’re experiencing. https://t.co/GDrqU22YpT
brand: @123389 We want to help! Please join us in DM to get started troubleshooting. https://t.co/GDrqU22YpT
customer: @123379 @115858 My phone is doing weird things since the update... ugh
brand: @127755 Let's get this figured out. What are you currently experiencing with your iPhone and the new update?
customer: @AppleSupport It freezes constantly having problems sending text messages I constantly turn it off and on because I can not call out and at times no sound
brand: @127755 Got it. Please DM us and we will continue troubleshooting from there. https://t.co/GDrqU22YpT
customer: @123379 @115858 Yes, My phone does not stay charged like before",23,0,billing_payment,0.99,True,charg(?:e|ed|ing)
33406,33366,1984315,2017-11-02T01:15:01+00:00,"@123379 @115858 Same here and I tried upgrading to 11.1 last night and still no better. It’s TERRIBLE. @115858, please fix it NOW.",@440368 We definitely want to help. Go ahead and DM the type of device you are using and we can get started together. https://t.co/GDrqU22YpT,"customer: Did anyone do the update @115858 and now your phone is having charging issues? Phones not even a year old. Driving me crazy
customer: @123379 @115858 Yes, after the update I have to charge it several times a day. Irritating!
customer: @123379 @115858 I got the new iPhone 8 Plus and since the 11.3 update, it will NOT auto-lock after 30 seconds as I’ve set! Killing my GD battery!!
customer: @123379 @115858 My phone lags, is shutting off, and glitching all over. It worked so well before I downloaded the update and bug fix update
customer: @123379 @115858 Yes I couldn't believe that my battery kept dying! I thought my charger was dead
brand: @123388 We'd love to help you with this. Which iOS version did you recently install? Was it iOS 11.1?
brand: @123378 Let's team up on this. Send us a DM with more information, and we'll continue from there. https://t.co/GDrqU22YpT
brand: @584578 We are here to help whenever possible. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT
brand: @124175 We'd love to look into this. Please click here to join us in DM: https://t.co/GDrqU22YpT
customer: @123379 @115858 Yess! Hate the new update 😡
customer: @AppleSupport @123388 I hate it !! The entire format changed! When I receive a call I have to say hello 2x no one hears me the first time battery dies quick 😡
brand: @123389 We’d love to help. To start, send us a DM with more details on the behavior you’re experiencing. https://t.co/GDrqU22YpT
brand: @123389 We want to help! Please join us in DM to get started troubleshooting. https://t.co/GDrqU22YpT
customer: @123379 @115858 My phone is doing weird things since the update... ugh
brand: @127755 Let's get this figured out. What are you currently experiencing with your iPhone and the new update?
customer: @AppleSupport It freezes constantly having problems sending text messages I constantly turn it off and on because I can not call out and at times no sound
brand: @127755 Got it. Please DM us and we will continue troubleshooting from there. https://t.co/GDrqU22YpT
customer: @123379 @115858 Yes, My phone does not stay charged like before
brand: @130493 We've received your DM and will respond there shortly. https://t.co/GDrqU22YpT
customer: @123379 @115858 Same here and I tried upgrading to 11.1 last night and still no better. It’s TERRIBLE. @115858, please fix it NOW.",23,0,complaint,0.99,True,terrible\b
33406,33368,1449203,2017-11-02T16:53:37+00:00,@123379 @115858 My keeps cutting to black then I have to hit the home button it’s super glitchy!,@456280 We can help out. Could you Direct Message us and let us know what iOS version you're on? https://t.co/GDrqU22YpT,"customer: Did anyone do the update @115858 and now your phone is having charging issues? Phones not even a year old. Driving me crazy
customer: @123379 @115858 Yes, after the update I have to charge it several times a day. Irritating!
customer: @123379 @115858 I got the new iPhone 8 Plus and since the 11.3 update, it will NOT auto-lock after 30 seconds as I’ve set! Killing my GD battery!!
customer: @123379 @115858 My phone lags, is shutting off, and glitching all over. It worked so well before I downloaded the update and bug fix update
customer: @123379 @115858 Yes I couldn't believe that my battery kept dying! I thought my charger was dead
brand: @123388 We'd love to help you with this. Which iOS version did you recently install? Was it iOS 11.1?
brand: @123378 Let's team up on this. Send us a DM with more information, and we'll continue from there. https://t.co/GDrqU22YpT
brand: @584578 We are here to help whenever possible. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT
brand: @124175 We'd love to look into this. Please click here to join us in DM: https://t.co/GDrqU22YpT
customer: @123379 @115858 Yess! Hate the new update 😡
customer: @AppleSupport @123388 I hate it !! The entire format changed! When I receive a call I have to say hello 2x no one hears me the first time battery dies quick 😡
brand: @123389 We’d love to help. To start, send us a DM with more details on the behavior you’re experiencing. https://t.co/GDrqU22YpT
brand: @123389 We want to help! Please join us in DM to get started troubleshooting. https://t.co/GDrqU22YpT
customer: @123379 @115858 My phone is doing weird things since the update... ugh
brand: @127755 Let's get this figured out. What are you currently experiencing with your iPhone and the new update?
customer: @AppleSupport It freezes constantly having problems sending text messages I constantly turn it off and on because I can not call out and at times no sound
brand: @127755 Got it. Please DM us and we will continue troubleshooting from there. https://t.co/GDrqU22YpT
customer: @123379 @115858 Yes, My phone does not stay charged like before
brand: @130493 We've received your DM and will respond there shortly. https://t.co/GDrqU22YpT
customer: @123379 @115858 Same here and I tried upgrading to 11.1 last night and still no better. It’s TERRIBLE. @115858, please fix it NOW.
brand: @440368 We definitely want to help. Go ahead and DM the type of device you are using and we can get started together. https://t.co/GDrqU22YpT
customer: @123379 @115858 My keeps cutting to black then I have to hit the home button it’s super glitchy!",23,0,app_software_issue,0.99,True,glitch
34595,34598,34596,2017-11-01T13:27:32+00:00,iMessage-Aktivierung schlägt mal wieder fehl… @1652 @AppleSupport,@123495 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,customer: iMessage-Aktivierung schlägt mal wieder fehl… @1652 @AppleSupport,10,0,app_software_issue,0.99,True,imessage
34595,34597,34599,2017-11-01T13:51:00+00:00,@AppleSupport iMessage stopped working and won’t activate anymore—is that a problem on your side?,"@123495 We're not showing any issues on our end: https://t.co/7NVrDovSd8

Has it been over 24 hours since you tried activating?","customer: iMessage-Aktivierung schlägt mal wieder fehl… @1652 @AppleSupport
brand: @123495 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
customer: @AppleSupport iMessage stopped working and won’t activate anymore—is that a problem on your side?",10,0,app_software_issue,0.99,True,imessage
34595,34604,34605,2017-11-01T19:39:00+00:00,@AppleSupport How can i solve this problem? https://t.co/GGrwhAf4yr,@123497 Let's have a look at this. Please DM us here: https://t.co/GDrqU22YpT,"customer: iMessage-Aktivierung schlägt mal wieder fehl… @1652 @AppleSupport
brand: @123495 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
customer: @AppleSupport iMessage stopped working and won’t activate anymore—is that a problem on your side?
brand: @123495 We're not showing any issues on our end: https://t.co/7NVrDovSd8

Has it been over 24 hours since you tried activating?
customer: @AppleSupport I don’t think so—it did work this morning, has been deactivated for whatever reason, and now it won’t activate… 🤔
brand: @123495 Thank you for providing us with that information. Let's look further into this issue. Please DM us the device you are using. https://t.co/GDrqU22YpT
customer: @123495 @AppleSupport Nachrichten werden bei mir auch nicht mehr zugestellt
brand: @123496 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
customer: @AppleSupport How can i solve this problem? https://t.co/GGrwhAf4yr",10,0,general_information,0.99,False,how can i\b;can i\b
34674,34678,34675,2017-11-01T13:18:00+00:00,@AppleSupport after update to 10.13.1 Lacie is down again after a night of extreme and unprovoced disk access resulting in overheating! 2/2,"@120401 When you have a moment, please send us over a DM. We're happy to work together with you on this. https://t.co/GDrqU22YpT",customer: @AppleSupport after update to 10.13.1 Lacie is down again after a night of extreme and unprovoced disk access resulting in overheating! 2/2,4,0,app_software_issue,0.99,True,update\b
35265,35271,35270,2017-10-31T21:24:00+00:00,@AppleSupport what the hell is wrong with ur new update?? My phone keeps getting stuck and powering off (unresponsive). Get ur shit together,@123686 We'd love to help. Which iPhone model are you using? DM the answer below. https://t.co/GDrqU22YpT,customer: @AppleSupport what the hell is wrong with ur new update?? My phone keeps getting stuck and powering off (unresponsive). Get ur shit together,6,0,app_software_issue,0.99,True,update\b
35968,35971,35969,2017-11-01T13:59:00+00:00,Another pointless call with @115858 &amp; @AppleSupport disgusting customer service with no care for their customers!!! Who can I complain to?!😡,@123825 We'd like to hear more about your experience. Go ahead and DM us more details here: https://t.co/GDrqU22YpT,customer: Another pointless call with @115858 &amp; @AppleSupport disgusting customer service with no care for their customers!!! Who can I complain to?!😡,4,0,general_information,0.99,True,can i\b
2014770,2014772,2014771,2017-11-05T18:24:02+00:00,@117927 @123370 @AppleSupport How do I️ do this?,@595758 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,"customer: RT If you are having issues with you iPhone not typing the letter ‘I’ correctly. @AppleSupport needs to see the impact of this BS 🤬😤
brand: @123370 We’d like to get this issue resolved. Meet us in DM if you'd like to continue.
customer: @AppleSupport over 24 hours, yall have been no help.
customer: @123370 @AppleSupport I’m having the same issue has anyone helped?
brand: @123995 We're happy to help. Which iOS version is installed? Let us know in DM and we'll go from there. https://t.co/GDrqU22YpT
customer: @123370 @AppleSupport Create a shortcut in your dictionary to get rid of it.
customer: @117927 @123370 @AppleSupport How do I️ do this?",8,0,general_information,0.99,True,how do i\b
36659,36661,36660,2017-11-01T14:02:36+00:00,@115858 @AppleSupport I️ need you to hurry up and fix this update cuz I️ can’t type the letter “eye” with out it looking crazy as hell 🙄😤,"@123988 We're here for you! Send us a DM with your current iOS version, and we'll get started there. https://t.co/GDrqU22YpT",customer: @115858 @AppleSupport I️ need you to hurry up and fix this update cuz I️ can’t type the letter “eye” with out it looking crazy as hell 🙄😤,2,0,app_software_issue,0.99,True,update\b
38244,38246,38245,2017-11-01T14:34:00+00:00,@AppleSupport new update  11.0.3 has made my cell slow like samsung. The main reason me buying apple was a hope that it doesnt hang! 😐,"@124310 We can help. We’ve released iOS 11.1. Let’s make sure you have a backup, and update your iPhone: https://t.co/80YRnjDFDk",customer: @AppleSupport new update  11.0.3 has made my cell slow like samsung. The main reason me buying apple was a hope that it doesnt hang! 😐,2,0,app_software_issue,0.99,False,update\b;slow\b
38874,38877,38875,2017-11-01T14:53:32+00:00,"@AppleSupport I am running on iOS 11.1, crackling sound ws reported 6 months back but now it is relatively less after update but Call Volumes have dropped",@124483 Thanks for that information. DM the country or region where you are currently located to continue. https://t.co/GDrqU22YpT,"customer: @applesupport My iphone 6s hs crackling sound coming on call and whn I hold phn a little away from mouth, the person cannot hear my voice
brand: @124483 We're here to help! Which version of the iOS is on the iPhone and when did you first notice this issue?
customer: @AppleSupport I am running on iOS 11.1, crackling sound ws reported 6 months back but now it is relatively less after update but Call Volumes have dropped
customer: @124483 @AppleSupport exchange the phone with 8x bro.",8,0,app_software_issue,0.99,False,ios\b;update\b
40483,40485,40484,2017-11-01T15:23:49+00:00,@AppleSupport is de update 4.2 niet voor de Apple watch 1?,@124879 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,customer: @AppleSupport is de update 4.2 niet voor de Apple watch 1?,2,0,app_software_issue,0.99,True,update\b
