conversation_id,customer_tweet_id,brand_tweet_id,timestamp,customer_message,brand_response,conversation_history,conversation_turns,is_multi_brand_candidate
84271,84273,84272,2017-11-30T13:57:00+00:00,"Hey @115858 ... your autocorrect, figure “I.t” out! #iosfail #applefail",@134543 We'd love to help you get the auto-correct on your iPhone working again like you expect. DM us which exact version of the operating system your iPhone is running and we'll get started. https://t.co/GDrqU22YpT,"customer: Hey @115858 ... your autocorrect, figure “I.t” out! #iosfail #applefail",2,0
90571,90573,90572,2017-11-30T15:05:33+00:00,@AppleSupport I am trying to update my apps in App Store but it says that I need to pay.,@135600 Hello. There appears to be a billing issue with a previous purchase. Check this out and let us know if it helps: https://t.co/U96y4MTG7k,customer: @AppleSupport I am trying to update my apps in App Store but it says that I need to pay.,2,0
90668,90671,90669,2017-11-30T14:50:00+00:00,"@AppleSupport kernel panic last night, today all my application icons are missing… Whats happened? https://t.co/izmgzNa2vC",@135633 We'd be happy to look into this with you. Could you tell us which version of macOS you're running? Do the icons for those apps look normal in the Applications folder?,"customer: @AppleSupport kernel panic last night, today all my application icons are missing… Whats happened? https://t.co/izmgzNa2vC",6,0
90668,90673,90674,2017-12-01T15:02:05+00:00,@AppleSupport Here we go! Any ideas? https://t.co/TnZTVZRH6w,@135633 We're glad you were able to partially resolve your issue. Let's continue via DM. Reach out using the link below and let us know if you've restared your Mac since making these changes. https://t.co/GDrqU22YpT,"customer: @AppleSupport kernel panic last night, today all my application icons are missing… Whats happened? https://t.co/izmgzNa2vC
brand: @135633 We'd be happy to look into this with you. Could you tell us which version of macOS you're running? Do the icons for those apps look normal in the Applications folder?
customer: @AppleSupport Hi, things seem worse today. I fixed the Dock icons but my Applications folder is all but empty. Finder seems completely broken. https://t.co/oLJMC0ppmR
customer: @AppleSupport I did a `killall Finder` and it seems to have fixed that. Notification icons have also been missing, I’ll let you know how they’re looking next time I get a notification!
customer: @AppleSupport Here we go! Any ideas? https://t.co/TnZTVZRH6w",6,0
90723,90725,90724,2017-11-30T14:44:00+00:00,"Yo,@115858, on my 45 minute commute, I’ve checked my emails (maybe twice), read an article and listened to some Spotify. My battery has dropped from 100% to 65%, what gives? Is it because my phone’s just out of warranty and you want me to spend my hard earned cash on a new one?",@135645 This definitely isn't the experience we want you to have with your iPhone. Let's see what we can do to get it resolved. Which version of iOS are you using? You can find that in Settings &gt; General &gt; About.,"customer: Yo,@115858, on my 45 minute commute, I’ve checked my emails (maybe twice), read an article and listened to some Spotify. My battery has dropped from 100% to 65%, what gives? Is it because my phone’s just out of warranty and you want me to spend my hard earned cash on a new one?",2,0
94858,94860,94859,2017-11-30T15:55:00+00:00,@115858 I didn’t pay around one thousand dollar for my expensive iPhone to constantly not pronounce words correct. You’re depressing.,"@136615 We're here for you. 

Send us a DM with details of what is going on. We'll meet you there. https://t.co/GDrqU22YpT",customer: @115858 I didn’t pay around one thousand dollar for my expensive iPhone to constantly not pronounce words correct. You’re depressing.,2,0
103149,103151,103150,2017-11-30T18:10:01+00:00,"@115858 my iPhone gets slower and slower with every update and for this I thank you, keep up the good work",@138690 We know how important updates are and we want to help you use the device as you expect. DM us what device and iOS version you're using. https://t.co/GDrqU22YpT,"customer: @115858 my iPhone gets slower and slower with every update and for this I thank you, keep up the good work",2,0
105361,105364,105362,2017-11-30T18:32:31+00:00,Missing my voicemail on iOS11. It just says “call voicemail” what the hell.... @AppleSupport @115990,@139270 This usually indicates that it needs to be set up. This would be best handled by your carrier.,customer: Missing my voicemail on iOS11. It just says “call voicemail” what the hell.... @AppleSupport @115990,3,0
107340,107342,107341,2017-11-23T19:31:24+00:00,@AppleSupport where do we forward fake Apple emails?,@139840 We certainly appreciate you reaching out to us on this. This article should assist: https://t.co/LNMCdqt6fD,customer: @AppleSupport where do we forward fake Apple emails?,2,0
109054,109056,109055,2017-11-23T19:43:25+00:00,@AppleSupport Same bug in my #iPhone7 as in my #iPhone5s: Volume increases without touching the buttons or the display? #iOS11,@140206 We want you to have an enjoyable experience with your new phone. Let's hop in DM and continue there. Click here: https://t.co/GDrqU22YpT,customer: @AppleSupport Same bug in my #iPhone7 as in my #iPhone5s: Volume increases without touching the buttons or the display? #iOS11,2,0
119458,119461,119459,2017-11-23T22:50:25+00:00,Not surprised 11.1.2 is full of bugs @116333 @115858 @AppleSupport my iPhone 8 crashed twice this week  already. Steve would not approve at the loss of “thoughtfulness” and “quality” in your Software coding and QA testing Tim. Apple has fallen VERY far on your watch.,"@142505 We'd like to help get your iPhone to not restart itself. What showed on its screen when it did restart itself?

Have you tried any steps so far?",customer: Not surprised 11.1.2 is full of bugs @116333 @115858 @AppleSupport my iPhone 8 crashed twice this week  already. Steve would not approve at the loss of “thoughtfulness” and “quality” in your Software coding and QA testing Tim. Apple has fallen VERY far on your watch.,8,0
119458,119460,119462,2017-11-23T23:53:51+00:00,"@AppleSupport Pandora was playing, then suddenly the apple logo appeared and Pandora stopped and a few seconds later I had to type in my passcode to unlock the phone. I found all my open apps backgrounded but I had to forground Pandora and it started playing again.","@142505 Are all of your apps up-to-date if you connect to Wi-Fi and check in its App Store &gt; Updates section?

How many times has this occurred?","customer: Not surprised 11.1.2 is full of bugs @116333 @115858 @AppleSupport my iPhone 8 crashed twice this week  already. Steve would not approve at the loss of “thoughtfulness” and “quality” in your Software coding and QA testing Tim. Apple has fallen VERY far on your watch.
brand: @142505 We'd like to help get your iPhone to not restart itself. What showed on its screen when it did restart itself?

Have you tried any steps so far?
customer: @AppleSupport Pandora was playing, then suddenly the apple logo appeared and Pandora stopped and a few seconds later I had to type in my passcode to unlock the phone. I found all my open apps backgrounded but I had to forground Pandora and it started playing again.",8,0
119458,119463,119464,2017-11-24T02:02:26+00:00,@AppleSupport yes,"@142505 How many times has this occurred? Also, which country are you located within?

Please let us know both details in DM here: https://t.co/GDrqU22YpT","customer: Not surprised 11.1.2 is full of bugs @116333 @115858 @AppleSupport my iPhone 8 crashed twice this week  already. Steve would not approve at the loss of “thoughtfulness” and “quality” in your Software coding and QA testing Tim. Apple has fallen VERY far on your watch.
brand: @142505 We'd like to help get your iPhone to not restart itself. What showed on its screen when it did restart itself?

Have you tried any steps so far?
customer: @AppleSupport Pandora was playing, then suddenly the apple logo appeared and Pandora stopped and a few seconds later I had to type in my passcode to unlock the phone. I found all my open apps backgrounded but I had to forground Pandora and it started playing again.
brand: @142505 Are all of your apps up-to-date if you connect to Wi-Fi and check in its App Store &gt; Updates section?

How many times has this occurred?
customer: @AppleSupport yes",8,0
119458,119465,119466,2017-11-24T16:42:01+00:00,@AppleSupport two times. USA,@142505 We received your DM and will continue with you there.,"customer: Not surprised 11.1.2 is full of bugs @116333 @115858 @AppleSupport my iPhone 8 crashed twice this week  already. Steve would not approve at the loss of “thoughtfulness” and “quality” in your Software coding and QA testing Tim. Apple has fallen VERY far on your watch.
brand: @142505 We'd like to help get your iPhone to not restart itself. What showed on its screen when it did restart itself?

Have you tried any steps so far?
customer: @AppleSupport Pandora was playing, then suddenly the apple logo appeared and Pandora stopped and a few seconds later I had to type in my passcode to unlock the phone. I found all my open apps backgrounded but I had to forground Pandora and it started playing again.
brand: @142505 Are all of your apps up-to-date if you connect to Wi-Fi and check in its App Store &gt; Updates section?

How many times has this occurred?
customer: @AppleSupport yes
brand: @142505 How many times has this occurred? Also, which country are you located within?

Please let us know both details in DM here: https://t.co/GDrqU22YpT
customer: @AppleSupport two times. USA",8,0
145247,145249,145248,2017-11-24T13:36:33+00:00,"New Android Phone smokes iPhoneX in speed test (&amp; it's half the price) hey @AppleSupport since iOS11 my iPhone6plus is slower than a Sydney train &amp; they’re fcuk’n slow
https://t.co/tRMaRFSZC1","@148921 Hey there. We know it's important for your iPhone to work the way you expect, and we're happy to see how we can help. To get started, send us a DM with more information and the exact iOS version your iPhone is running. We'll meet you there. https://t.co/GDrqU22YpT","customer: New Android Phone smokes iPhoneX in speed test (&amp; it's half the price) hey @AppleSupport since iOS11 my iPhone6plus is slower than a Sydney train &amp; they’re fcuk’n slow
https://t.co/tRMaRFSZC1",2,0
146550,146553,146551,2017-11-24T14:27:37+00:00,@115858 @4792 CarPlay and iPhoneX and the 2017 M240i don‘t work together. When is a fix for that coming?,"@149262 We'd like to help you get CarPlay working. Try following the ""Get help"" steps here: https://t.co/pg90dhXKAJ Let us know if you still need help.",customer: @115858 @4792 CarPlay and iPhoneX and the 2017 M240i don‘t work together. When is a fix for that coming?,7,0
146550,146552,146554,2017-11-24T15:53:32+00:00,"@AppleSupport Thanks. Still, it is not working with the iPhoneX. It works with the iPhone 6s thou","@149262 We're happy to hear it's now working with the iPhone 6s. To help us determine the cause, are both iPhone's using the same iOS version? This is found in Settings &gt; General &gt; About &gt; Version.","customer: @115858 @4792 CarPlay and iPhoneX and the 2017 M240i don‘t work together. When is a fix for that coming?
brand: @149262 We'd like to help you get CarPlay working. Try following the ""Get help"" steps here: https://t.co/pg90dhXKAJ Let us know if you still need help.
customer: @AppleSupport Thanks. Still, it is not working with the iPhoneX. It works with the iPhone 6s thou",7,0
146550,146555,146556,2017-11-24T20:27:53+00:00,"@AppleSupport No, the iPhone 6S Runs on 11.2 latest Public Beta while the iPhoneX runs on the latetest iOS 11.1",@149262 We recently released iOS 11.1.2 that may help with this issue. We'd recommend to update your device. Please be sure to create a backup before the install. https://t.co/4f8hwT5to6 Please let us know how it goes.,"customer: @115858 @4792 CarPlay and iPhoneX and the 2017 M240i don‘t work together. When is a fix for that coming?
brand: @149262 We'd like to help you get CarPlay working. Try following the ""Get help"" steps here: https://t.co/pg90dhXKAJ Let us know if you still need help.
customer: @AppleSupport Thanks. Still, it is not working with the iPhoneX. It works with the iPhone 6s thou
brand: @149262 We're happy to hear it's now working with the iPhone 6s. To help us determine the cause, are both iPhone's using the same iOS version? This is found in Settings &gt; General &gt; About &gt; Version.
customer: @AppleSupport No, the iPhone 6S Runs on 11.2 latest Public Beta while the iPhoneX runs on the latetest iOS 11.1",7,0
149997,149999,149998,2017-11-24T15:13:32+00:00,. @AppleSupport what is the twitter handle for the Apple Developer Support program?,"@150196 We'll be happy to get you pointed in the right direction. To connect with Apple Developer Support, check out this link: https://t.co/MN29maiV1D",customer: . @AppleSupport what is the twitter handle for the Apple Developer Support program?,2,0
663880,162753,663908,2017-11-23T02:17:27+00:00,@AppleSupport How in the world do I close apps,"@278220 If you have an app which won't respond, you can follow these steps to force it to close: https://t.co/RqqIctrDWV  
To leave an app and return to the home screen, swipe up from the bottom of your screen.","brand: Lookin' good just got better. Here's how to take great selfies with Portrait Lighting on iPhone X. 

Learn more: https://t.co/3kGLP76uWa https://t.co/U6gZBSMJQA
customer: @AppleSupport How in the world do I close apps
customer: @AppleSupport Do you have this in Arabic for Dubai ?",13,0
663880,162749,663881,2017-11-23T02:23:00+00:00,@AppleSupport Do you have this in Arabic for Dubai ?,@278216 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,"brand: Lookin' good just got better. Here's how to take great selfies with Portrait Lighting on iPhone X. 

Learn more: https://t.co/3kGLP76uWa https://t.co/U6gZBSMJQA
customer: @AppleSupport How in the world do I close apps
customer: @AppleSupport Do you have this in Arabic for Dubai ?
brand: @278220 If you have an app which won't respond, you can follow these steps to force it to close: https://t.co/RqqIctrDWV  
To leave an app and return to the home screen, swipe up from the bottom of your screen.",13,0
663880,162743,162741,2017-11-24T19:25:26+00:00,@AppleSupport  https://t.co/Kzllie4QPm,"@153600 We appreciate the screenshots you sent, they tell us what's happening perfectly. Please work through the steps in this resource and let us know how things go. 
If you see error 9, 4005, 4013, or 4014 when you restore your iOS device: https://t.co/lMMVPdjGNN","brand: Lookin' good just got better. Here's how to take great selfies with Portrait Lighting on iPhone X. 

Learn more: https://t.co/3kGLP76uWa https://t.co/U6gZBSMJQA
customer: @AppleSupport How in the world do I close apps
customer: @AppleSupport Do you have this in Arabic for Dubai ?
brand: @278220 If you have an app which won't respond, you can follow these steps to force it to close: https://t.co/RqqIctrDWV  
To leave an app and return to the home screen, swipe up from the bottom of your screen.
brand: @278216 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
customer: @AppleSupport Thanks #applesupport but don''t need support. Just wondering if this Ad is also available in Arabic.
customer: @AppleSupport ??? https://t.co/S0JxzjDU5D
customer: @AppleSupport  https://t.co/Kzllie4QPm",13,0
663880,162748,167295,2017-11-24T20:41:28+00:00,"@AppleSupport I will send a message to someone, but later he will answer me, his message will be above my message.please help me.",@154903 Hi there. We'd like to look into this. We'd just like to confirm we understand. Are your message threads appearing out of order? DM us and let us know. https://t.co/GDrqU22YpT,"brand: Lookin' good just got better. Here's how to take great selfies with Portrait Lighting on iPhone X. 

Learn more: https://t.co/3kGLP76uWa https://t.co/U6gZBSMJQA
customer: @AppleSupport How in the world do I close apps
customer: @AppleSupport Do you have this in Arabic for Dubai ?
brand: @278220 If you have an app which won't respond, you can follow these steps to force it to close: https://t.co/RqqIctrDWV  
To leave an app and return to the home screen, swipe up from the bottom of your screen.
brand: @278216 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
customer: @AppleSupport Thanks #applesupport but don''t need support. Just wondering if this Ad is also available in Arabic.
customer: @AppleSupport ??? https://t.co/S0JxzjDU5D
customer: @AppleSupport  https://t.co/Kzllie4QPm
brand: @153600 We appreciate the screenshots you sent, they tell us what's happening perfectly. Please work through the steps in this resource and let us know how things go. 
If you see error 9, 4005, 4013, or 4014 when you restore your iOS device: https://t.co/lMMVPdjGNN
customer: @AppleSupport Turkish please
customer: @153600 @AppleSupport https://t.co/bD2jjprTM3 for support in your native tongue. Twitter feed is English only in it's present support availability.
customer: @AppleSupport I will send a message to someone, but later he will answer me, his message will be above my message.please help me.",13,0
162841,162843,162842,2017-11-24T19:09:00+00:00,@AppleSupport just purchased IPhone 8 can’t install the IOS update which means I can’t back it up to my i cloud! Any ideas what’s going on?,@153622 We want to help! DM us and let us know more about the issues you are having. We can look more into this issue from there. https://t.co/GDrqU22YpT,customer: @AppleSupport just purchased IPhone 8 can’t install the IOS update which means I can’t back it up to my i cloud! Any ideas what’s going on?,2,0
164199,164201,164200,2017-11-24T19:53:00+00:00,Hey @115858 you wanna make an update that actually freaking works and doesn’t only make all my apps crash? K thx.,"@154030 If your apps are crashing, we'd like to help look into that with you. What device and OS are you using, and which apps are affected?",customer: Hey @115858 you wanna make an update that actually freaking works and doesn’t only make all my apps crash? K thx.,2,0
164238,164240,164239,2017-11-24T19:33:28+00:00,@115858 and their stellar hardware/software experience. Fix it before you release it. #notahappyprofessor https://t.co/57vgaXsdMO,@154042 Hi there. We want you to be able to use your Mac without having issues. DM us and tell us which version of macOS you're running. Here's how to find that: https://t.co/aTSJR8BjEc https://t.co/GDrqU22YpT,customer: @115858 and their stellar hardware/software experience. Fix it before you release it. #notahappyprofessor https://t.co/57vgaXsdMO,2,0
165790,165796,165795,2017-11-24T19:56:54+00:00,@AppleSupport can you help on this ??  This is the 3rd time in 2 months. https://t.co/jXdsdmmvbK,"@154492 If anyone enters your password, security questions, or other account information incorrectly too many times, your Apple ID automatically locks to protect your security. Do you have two factor authentication enabled for your ID?",customer: @AppleSupport can you help on this ??  This is the 3rd time in 2 months. https://t.co/jXdsdmmvbK,6,0
165790,165793,165791,2017-11-24T20:16:30+00:00,@AppleSupport And are people trying to hack my account?,"@154492 While we can't know if someone is trying to hack your ID, if that message appears within our Settings app it's likely genuine. You can check the status of your account at https://t.co/ggVDoc1mU7 and Two-Factor Authentication can help protect your account.","customer: @AppleSupport can you help on this ??  This is the 3rd time in 2 months. https://t.co/jXdsdmmvbK
brand: @154492 If anyone enters your password, security questions, or other account information incorrectly too many times, your Apple ID automatically locks to protect your security. Do you have two factor authentication enabled for your ID?
customer: @AppleSupport I’m not over sure on that.   But my question is it genuine?
customer: @AppleSupport And are people trying to hack my account?",6,0
172937,172939,172938,2017-11-24T22:47:30+00:00,@AppleSupport Is something happening with iOS? Out of nowhere my phone became unresponsive. I'm running 10.2.1 on 6S. My thousands of pictures all disappeared.,"@156462 Let's explore what is happening with your iPhone. For starters, in Settings &gt; General &gt; About, how much space is showing as available? Please DM us that answer and we'll pick up our chat there. https://t.co/GDrqU22YpT",customer: @AppleSupport Is something happening with iOS? Out of nowhere my phone became unresponsive. I'm running 10.2.1 on 6S. My thousands of pictures all disappeared.,2,0
174115,174117,174116,2017-11-24T23:26:00+00:00,@AppleSupport Is the one-day shopping event only for the Apple Store online or it’s also for retail stores?,"@156798 Great Question! The one-day shopping event offer is valid at Apple Store locations, Apple Online Store, and by calling 1 800 MY-APPLE for purchases on November 24, 2017. Take a look here: https://t.co/Xg5hzqKMYJ",customer: @AppleSupport Is the one-day shopping event only for the Apple Store online or it’s also for retail stores?,2,0
181325,181327,181326,2017-10-04T12:22:36+00:00,@AppleSupport Can I wash my hand with soap with the Apple Watch Series 3 On,@158584 You sure can. Check out this article for more information. https://t.co/qs0ObV8D7L,customer: @AppleSupport Can I wash my hand with soap with the Apple Watch Series 3 On,2,0
181327,181331,181328,2017-10-04T12:57:01+00:00,"@115858 I hate your new iOS... opening from 1 app to another now has a lag time, switching keyboards automatically, &amp; a lot more crap 😤",@158585 We want you to enjoy the new iOS. We can help! Have you updated to the most recent version of iOS 11.0.2?,"customer: @115858 I hate your new iOS... opening from 1 app to another now has a lag time, switching keyboards automatically, &amp; a lot more crap 😤",4,0
184384,184391,184390,2017-11-10T18:33:26+00:00,So @115858 has fixed that text bug with iOS 11.1.1. How about fixing the no sound bug when we screen recorded.,"@159397 Let's take a look at this together. When you long press on the record button in the Control Panel, the option for Microphone Audio should appear. When you toggle it, does anything happen in the recording?",customer: So @115858 has fixed that text bug with iOS 11.1.1. How about fixing the no sound bug when we screen recorded.,7,0
184384,184389,184388,2017-11-10T21:05:25+00:00,@AppleSupport Yes.. when the microphone is on I hear my own voice on the recording when it’s off.. silents.,"@159397 When you create a screen recording with it turned off, it should only record the sound in the app that is being used; i.e. if Music is being used, it will record the music being played until you go to another app. If you turn on the mic, it should record everything.","customer: So @115858 has fixed that text bug with iOS 11.1.1. How about fixing the no sound bug when we screen recorded.
brand: @159397 Let's take a look at this together. When you long press on the record button in the Control Panel, the option for Microphone Audio should appear. When you toggle it, does anything happen in the recording?
customer: @AppleSupport Yes.. when the microphone is on I hear my own voice on the recording when it’s off.. silents.",7,0
184384,184386,184385,2017-11-11T15:42:00+00:00,@AppleSupport @115858 Here the recording with microphone on. https://t.co/s2lJ7lwovD,"@159397 Thank you for the screen recordings. We're able to record that same video just fine, so we need to take a deeper look into what's going on with your iPhone's screen recording. What volume is the video set to when you're recording? Let us know in DM. https://t.co/GDrqU22YpT","customer: So @115858 has fixed that text bug with iOS 11.1.1. How about fixing the no sound bug when we screen recorded.
brand: @159397 Let's take a look at this together. When you long press on the record button in the Control Panel, the option for Microphone Audio should appear. When you toggle it, does anything happen in the recording?
customer: @AppleSupport Yes.. when the microphone is on I hear my own voice on the recording when it’s off.. silents.
brand: @159397 When you create a screen recording with it turned off, it should only record the sound in the app that is being used; i.e. if Music is being used, it will record the music being played until you go to another app. If you turn on the mic, it should record everything.
customer: @AppleSupport Ok @115858 Here’s two screen recordings from my iphone6s. One is with the microphone off.. the other is with the microphone on https://t.co/GN0aLPTOQB
customer: @AppleSupport @115858 Here the recording with microphone on. https://t.co/s2lJ7lwovD",7,0
184404,184406,184405,2017-11-11T15:40:02+00:00,@115858 Videos in my photos are not playing ..I am using iPhone SE .. please help me playing my videos ! Thanks.,@152768 We're happy to assist. Which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version.,customer: @115858 Videos in my photos are not playing ..I am using iPhone SE .. please help me playing my videos ! Thanks.,2,0
208950,208953,208951,2017-10-04T20:11:33+00:00,Yo @115858 WTF is with this auto WiFi and Bluetooth connection... it’s mad annoying!!!,@165449 Happy to help. Please let us know what issues you are seeing there.,customer: Yo @115858 WTF is with this auto WiFi and Bluetooth connection... it’s mad annoying!!!,4,0
208950,208952,208954,2017-10-05T01:53:32+00:00,@AppleSupport Why does my phone auto connects to random WiFis every time I go somewhere?? Ever since iOS 11 it’s been doing that.,@165449 We'd like to help with this. Could you please send us a DM so we can gather some info and take a look? https://t.co/GDrqU22YpT,"customer: Yo @115858 WTF is with this auto WiFi and Bluetooth connection... it’s mad annoying!!!
brand: @165449 Happy to help. Please let us know what issues you are seeing there.
customer: @AppleSupport Why does my phone auto connects to random WiFis every time I go somewhere?? Ever since iOS 11 it’s been doing that.",4,0
209133,209135,209134,2017-10-05T00:09:54+00:00,@AppleSupport looks like the widget for the weather is down still says sunset on mine but when I go in to the weather app it’s fine,@139371 We'd be happy to look into any issues you are having. Send us a DM. https://t.co/GDrqU22YpT,customer: @AppleSupport looks like the widget for the weather is down still says sunset on mine but when I go in to the weather app it’s fine,2,0
211240,211243,211241,2017-10-04T18:43:01+00:00,@AppleSupport @AppleSupport  I m really happy to know that apple has no time to revert to customer query 👍🏽,@166039 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.,"customer: @AppleSupport Just got news that 2 incidents reported that iPhone 8 plus battery burst while charging. Is it true ?
customer: @AppleSupport @AppleSupport  I m really happy to know that apple has no time to revert to customer query 👍🏽",7,0
211240,211242,211244,2017-10-04T18:54:51+00:00,@AppleSupport M using iOS 11.0.1 ( 15A403) on my iPhone 5S and iPhone 8. On 5S performance is worst. On 8 lot of issues of slow ness,"@166039 Thank you for that information.  Please go ahead and update to our latest iOS 11.0.2, and let us know if the issue persists.","customer: @AppleSupport Just got news that 2 incidents reported that iPhone 8 plus battery burst while charging. Is it true ?
customer: @AppleSupport @AppleSupport  I m really happy to know that apple has no time to revert to customer query 👍🏽
brand: @166039 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.
customer: @AppleSupport M using iOS 11.0.1 ( 15A403) on my iPhone 5S and iPhone 8. On 5S performance is worst. On 8 lot of issues of slow ness",7,0
